date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-08-14,9.091666666666667,5.733333333333333,155.66666666666666,7.754166666666666,4.041666666666667,38.458333333333336,0.34125,1.9583333333333333,1.2708333333333333,23.375,15.5
2022-08-15,7.904166666666666,5.245833333333334,150.83333333333334,8.091666666666667,3.579166666666667,35.416666666666664,0.28833333333333333,0.875,1.4291666666666665,23.833333333333332,14.416666666666666
2022-08-16,7.704166666666667,5.195833333333334,149.29166666666666,7.470833333333334,2.920833333333333,30.458333333333332,0.22291666666666665,0.7083333333333334,1.2125000000000001,22.041666666666668,12.583333333333334
2022-08-17,7.941666666666666,5.2749999999999995,152.95833333333334,7.391666666666667,3.1875,30.375,0.23916666666666667,1.0833333333333333,1.7125000000000001,21.333333333333332,12.791666666666666
2022-08-18,14.887500000000001,8.833333333333334,155.25,6.9750000000000005,3.8333333333333335,34.583333333333336,0.33041666666666664,6.291666666666667,1.7437500000000001,27.458333333333332,15.833333333333334
2022-08-19,10.4,6.779166666666666,146.79166666666666,6.45,5.3999999999999995,33.666666666666664,0.24083333333333334,1.9583333333333333,1.8499999999999999,35.208333333333336,17.958333333333332
2022-08-20,10.5,6.875,142.375,6.408333333333334,5.541666666666667,33.791666666666664,0.25875,1.5416666666666667,1.7395833333333333,27.833333333333332,15.208333333333334
2022-08-21,11.483333333333334,7.379166666666666,154.20833333333334,7.675,5.879166666666666,33.958333333333336,0.43416666666666665,2.4166666666666665,1.6041666666666667,27.416666666666668,15.375
2022-08-22,10.133333333333333,6.570833333333333,171.08333333333334,9.475,3.8249999999999997,30.791666666666668,0.4091666666666667,1.9583333333333333,1.4104166666666667,32.625,16.166666666666668
2022-08-23,10.25,6.670833333333333,176.75,9.191666666666666,3.8708333333333336,33.625,0.34041666666666665,2.125,1.6958333333333335,25.5,14.875
2022-08-24,10.145833333333334,6.658333333333334,193.83333333333334,10.058333333333334,4.841666666666667,35.5,0.27166666666666667,1.625,1.8958333333333333,26.958333333333332,16.041666666666668
2022-08-25,14.674999999999999,9.291666666666666,218.66666666666666,11.216666666666667,6.4750000000000005,38.583333333333336,0.3016666666666667,3.1666666666666665,1.9770833333333335,31.666666666666668,18.708333333333332
2022-08-26,21.366666666666664,13.433333333333332,262.7083333333333,14.933333333333332,7.841666666666666,36.625,0.31958333333333333,5.0,1.9375,49.583333333333336,25.166666666666668
2022-08-27,31.554166666666664,19.054166666666667,283.8333333333333,16.079166666666666,11.779166666666667,47.125,0.425,8.333333333333334,1.90625,59.333333333333336,33.25
2022-08-28,36.083333333333336,22.016666666666666,306.1666666666667,15.8125,13.491666666666667,60.291666666666664,0.5416666666666666,8.333333333333334,1.73125,65.58333333333333,40.5
2022-08-29,52.8125,32.75,405.0416666666667,19.183333333333334,18.808333333333334,69.125,0.645,11.333333333333334,1.7583333333333335,84.5,61.5
2022-08-30,60.65416666666667,39.762499999999996,496.625,22.6875,14.445833333333333,61.833333333333336,0.7425,7.416666666666667,1.2708333333333333,108.375,71.04166666666667
2022-08-31,36.50416666666667,25.391666666666666,384.9583333333333,16.445833333333333,6.075,63.208333333333336,0.5425,1.0416666666666667,1.4229166666666666,90.95833333333333,64.91666666666667
2022-09-01,25.28333333333333,17.729166666666668,347.625,14.741666666666667,5.095833333333333,60.833333333333336,0.3179166666666667,0.0,1.3125,71.29166666666667,48.208333333333336
2022-09-02,27.241666666666664,19.054166666666667,377.0,18.304166666666667,4.920833333333333,58.0,0.24166666666666667,0.0,1.8166666666666667,61.333333333333336,35.875
